country,listed_in,cnt,country_total,genre_total,country_share,global_share,gap,country_total_y
United States,International Movies,166,3690,2751,0.044986449864498644,0.3124006359300477,-0.26741418606554906,3690
Japan,Dramas,23,318,2426,0.07232704402515723,0.2754939813763343,-0.20316693735117708,318
Canada,International Movies,60,445,2751,0.1348314606741573,0.3124006359300477,-0.1775691752558904,445
Denmark,Comedies,1,48,1674,0.020833333333333332,0.19009766068589598,-0.16926432735256264,48
Taiwan,Dramas,10,89,2426,0.11235955056179775,0.2754939813763343,-0.16313443081453655,89
South Korea,Dramas,26,231,2426,0.11255411255411256,0.2754939813763343,-0.16293986882222172,231
Japan,Comedies,9,318,1674,0.02830188679245283,0.19009766068589598,-0.16179577389344316,318
Thailand,Dramas,8,70,2426,0.11428571428571428,0.2754939813763343,-0.16120826709062003,70
Taiwan,Comedies,3,89,1674,0.033707865168539325,0.19009766068589598,-0.15638979551735666,89
Colombia,Dramas,7,52,2426,0.1346153846153846,0.2754939813763343,-0.1408785967609497,52
United States,International TV Shows,74,3690,1351,0.02005420054200542,0.1534181240063593,-0.13336392346435388,3690
Indonesia,International TV Shows,2,90,1351,0.022222222222222223,0.1534181240063593,-0.13119590178413706,90
New Zealand,Comedies,2,33,1674,0.06060606060606061,0.19009766068589598,-0.12949160007983537,33
Philippines,International TV Shows,2,83,1351,0.024096385542168676,0.1534181240063593,-0.12932173846419062,83
United Arab Emirates,International TV Shows,1,37,1351,0.02702702702702703,0.1534181240063593,-0.12639109697933226,37
Australia,International Movies,30,160,2751,0.1875,0.3124006359300477,-0.12490063593004769,160
Israel,Comedies,2,30,1674,0.06666666666666667,0.19009766068589598,-0.12343099401922931,30
Norway,Comedies,2,30,1674,0.06666666666666667,0.19009766068589598,-0.12343099401922931,30
South Korea,International Movies,44,231,2751,0.19047619047619047,0.3124006359300477,-0.12192444545385722,231
Taiwan,International Movies,17,89,2751,0.19101123595505617,0.3124006359300477,-0.12138939997499151,89
South Korea,Comedies,17,231,1674,0.0735930735930736,0.19009766068589598,-0.11650458709282238,231
Hong Kong,International TV Shows,5,105,1351,0.047619047619047616,0.1534181240063593,-0.10579907638731167,105
